area_coverage,area_precision,black_f1_1px,black_f1_2px,black_f1_exact,blue_f1_1px,blue_f1_2px,blue_f1_exact,four_color_compliance,frame,green_f1_1px,green_f1_2px,green_f1_exact,line_pixels_changed,predicted_enclosed_pixels,production_color_compliance,red_f1_1px,red_f1_2px,red_f1_exact,reference_enclosed_pixels,reference_region_leak_rate,region_coverage,region_precision,regions_predicted,regions_total,task,union_f1_1px,union_f1_2px,union_f1_exact,white_target_correct_pixels,white_target_exact_fraction,white_target_pixels,white_target_unfilled_pixels,white_target_wrong_color_pixels
,,0.9803416697121368,0.9840136770770141,0.8811444622268674,0.9423777648948289,0.9735352492220349,0.7724618269488347,1.0,A0001.tga,0.0,0.0,0.0,,1495841,,0.7678640643586946,0.7849623683622986,0.6399451867077767,1495042,0.003229340714173916,,,,,A,0.9849312352572059,0.9927699955958035,0.8645273075118218,,,,,
,,0.982869828073839,0.9853069718747405,0.8943004890112978,0.9241446680969373,0.9507168715709594,0.7597058505461229,1.0,A0006.tga,0.0,0.0,0.0,,1526819,,0.7940266447644997,0.8066538140295878,0.6674692993017096,1526703,0.003546858819298842,,,,,A,0.9846322684735278,0.9898936162206576,0.8746578394550895,,,,,
,,0.9834580724527593,0.987024207609014,0.8962781368397593,0.9022289629668891,0.9393197133680633,0.7076523285235587,1.0,A0009.tga,0.0,0.0,0.0,,1480367,,0.653781362058952,0.6692789294305586,0.5371104815864023,1479880,0.003475957510068384,,,,,A,0.9751975412087811,0.9831594830637517,0.8630247107755757,,,,,
,,0.8924460041407082,0.9580175306272928,0.6279751109126929,0.870768830064621,0.9557232450553342,0.5916478090927794,,A0002.tga,0.7206145169732492,0.8141423075960246,0.4667535853976532,,,1.0,0.6316207339421598,0.7007782212232704,0.4160121611350393,,,,,,,B,0.8815520418327896,0.9505553741023853,0.6158646020284654,,,,,
,,0.8921853729718278,0.9423955047889784,0.6466837252751716,0.8729292634924244,0.9551453870232025,0.5963687857178981,,A0003.tga,0.665741214290933,0.7321187957989553,0.5087108013937282,,,1.0,0.6140163834631787,0.6698865491658865,0.43413383072977385,,,,,,,B,0.8803435675489457,0.9372953380439346,0.6322555827748872,,,,,
,,0.872275383870037,0.9300030841967605,0.6148103178806237,0.8953085780792476,0.9593903194706823,0.6276306514953177,,A0004.tga,0.5977994322338075,0.6581950850141117,0.41959531416400425,,,1.0,0.5998691489714115,0.6537396069251699,0.41181818181818186,,,,,,,B,0.8687552546938402,0.9265663364483241,0.6131358409666732,,,,,
,,0.79857463633784,0.9091943048779532,0.5205011098920725,0.8173257994837912,0.9470014552829928,0.5125207839975816,,A0005.tga,0.7784275113141946,0.9486200032280627,0.4144329896907217,,,1.0,0.6596019927163665,0.7573405309319694,0.41191936897458375,,,,,,,B,0.8024062859240697,0.9142777735049982,0.5198762612391223,,,,,
,,0.3989581230850503,0.4769649827021559,0.2595752191563217,0.3809556798697587,0.47304094526882,0.24148106229031083,,A0007.tga,0.7857315015666426,0.9161700287642646,0.4287425149700599,,,1.0,0.5231175245553339,0.590508509201514,0.31601423487544483,,,,,,,B,0.436424407767018,0.5224420256084805,0.28354853886768777,,,,,
,,0.4519296199265148,0.5540017968286541,0.28576264219828573,0.45423536474631265,0.5659189433898533,0.28473096617140936,,A0008.tga,0.760149655924994,0.8894413404278259,0.5106888361045131,,,1.0,0.5474576408490232,0.6370378585247167,0.3252769385699899,,,,,,,B,0.47606456939356273,0.583624809751008,0.30271464363006134,,,,,
0.9459199139555946,0.9995441164517417,,,,,,,,A0001.tga,,,,0,,,,,,,,0.7530864197530864,0.953125,64,81,C,,,,1414190,0.9459199139555946,1495042,80207,645
0.9476949085030577,0.999551783417251,,,,,,,,A0002.tga,,,,0,,,,,,,,0.7142857142857143,1.0,65,91,C,,,,1422781,0.9476949085030577,1501307,77888,638
0.9435942438966839,0.9996615429987852,,,,,,,,A0003.tga,,,,0,,,,,,,,0.6842105263157895,0.9701492537313433,67,95,C,,,,1423628,0.9435942438966839,1508729,84619,482
0.9404793991990463,0.9995951530433564,,,,,,,,A0004.tga,,,,0,,,,,,,,0.6907216494845361,0.9852941176470589,68,97,C,,,,1427122,0.9404793991990463,1517441,89741,578
0.9420211089537046,0.9990433206194761,,,,,,,,A0005.tga,,,,0,,,,,,,,0.75,1.0,72,96,C,,,,1431711,0.9420211089537046,1519829,86747,1371
0.9201341556480641,0.982189094036577,,,,,,,,A0006.tga,,,,0,,,,,,,,0.6704545454545454,0.9833333333333333,60,88,C,,,,1404663,0.9201341556480641,1526585,96450,25472
0.9937615653553801,0.9985292031817072,,,,,,,,A0007.tga,,,,0,,,,,,,,0.8777777777777778,0.9634146341463414,82,90,C,,,,1485441,0.9937615653553801,1494766,7137,2188
0.9792125738052014,0.9840586835479384,,,,,,,,A0008.tga,,,,0,,,,,,,,0.6976744186046512,0.8955223880597015,67,86,C,,,,1453126,0.9792125738052014,1483974,7308,23540
0.9940889589376617,0.9980986116200481,,,,,,,,A0009.tga,,,,0,,,,,,,,0.7710843373493976,0.8888888888888888,72,83,C,,,,1470858,0.9940889589376617,1479604,5945,2801
